Headword,Definition
ПЕРЕВОСТРИТЬ,"нож, перайстрыць."
ПЕРЕВОЩИК,м. перавозьнік.
ПЕРЕВРАТЬ,"што, каму; пералгаць, пераманіць."
ПЕРЕВЬЮЧИВАТЬ,"каго, ператрочываць, ператрочаньне."
ПЕРЕВЕВАТЬ,"збожжа, перавяваць, перавяваньне."
ПЕРЕВЕШИВАТЬ,"што на вагах; пераважываць, пераважываньне, перавага, пераважнік. На адных вагах важ, а на другіх пераважывай."
ПЕРЕВЯЗЫВАТЬ,"што, перавязываць, апавязываць, спавязываць. Рана ня добра апавязана-абвязана. Вязаў вузлы ды дрэнна, дык цяпер перавязуе. Спавяжы клункі свае."
ПЕРЕГАР,м. перапал.
ПЕРЕГИБЧАТЫЙ,"перагібісты, пярогіб."
ПЕРЕГЛЯДЫВАТЬ,"што, пераглядаць, пярогляд."
ПЕРЕГНОЙ,"што перагніло; пярогніль, пярогніўны."
ПЕРЕГНУСИТЬ,"што, перагугнавіць."
ПЕРЕГОВАРИВАТЬ,"што, перагаварываць перагаворы."
ПЕРЕГОРАЖИВАТЬ,"што, перагараджываць, перагародка."
ПЕРЕГОРОДЧАТЫЙ,перагародністы.
ПЕРЕГОРДИЛИСЬ,"ўсе, перапышэлі."
ПЕРЕГОРЕВАТЬ,"гора, перагараваць."
ПЕРЕГРАБИТЬ,"у людзей, пераграбаваць, перарабаваць, пералупіць."
ПЕРЕГРЕЗИТЬ,"ў думах, перамроіць. Мала чаго чалавек перамроіць, пакуль да чаго дойдзе."
ПЕРЕГРОХОТАТЬ,"ўсё, перагракатаць."
ПЕРЕГРУЖАТЬ,"тавар, перакладаць, пераваліваць."
ПЕРЕГРУПИРОВАТЬ,"каго, што; перагрупаваць."
ПЕРЕГРУСТИТЬ,"па кім, перамаркоціцца."
ПЕРЕГРЯЗНИТЬ,"што, перабрудзіць."
ПЕРЕДАВАТЬ,"што, каму; перадаваць."
ПЕРЕДАВЛИВАТЬ,"што, пераціскаць, пяроцісь."
ПЕРЕДОЙНИЦА,"карова, перадойка."
ПЕРЕДАТОЧНЫЙ,"перадатны, перадача."
ПЕРЕДБАННИК,"м. прылазьнік, прымыйнік."
ПЕРЕДВИГАТЬ,"што, перасуваць, перасоўка, перасоўны, пяросаўка. Перасувалі стол і паламалі ножкі. Серады не перасунеш."
ПЕРЕДГОРЬЕ,"ср. узгорья, паўзгорья."
ПЕРЕДЕРГИВАТЬ,"што, перастыргаць, перастыргнуты."
ПЕРЕДЕРЖАТЬ,"што, ператрымаць, ператрымка."
ПЕРЕДЛИНИТЬ,"што, перадоўжыць."
ПЕРЕДОЛЖИТЬ,"што, перадоўжыць."
ПЕРЕДОЛБИТЬ,"што, перадзяўбсьці, перадзяўбці."
ПЕРЕДОПРОС,"м. пяропыт, перадопыт."
ПЕРЕДПОСЛЕДНИЙ,"грош, перадапошні."
ПЕРЕДРАЗНИВАТЬ,"каго, перадражняць."
ПЕРЕДРОБИТЬ,"косць, раздрушчыць."
ПЕРЕДРОГНУТЬ,"дрыжэць ад сьцюжы; перазябнуць, перадрыжэць, перакалаціцца."
ПЕРЕДРЯГИ,"сваркі, калатня; перакалоты."
ПЕРЕДРЯБНУТЬ,"перахізнуць, ператрухлець."
ПЕРЕДРЯЗГИ,"перасваркі, перакалоты."
ПЕРЕДУНУТЬ,"што, перадзьмухнуць."
ПЕРЕДНЯЯ,"першы пакой, пакойчык пры ўходзе ў дом; сені, сенцы. Судзьдзя нас у сенцах пратрымаў да поўдня. Паны любяць простых людзей у сенцах прыймаць."
ПЕРЕДНИК,"м. часьць вопраткі з рожнага выгляду і крою для акрыцьця верхняй вопраткі ці для аздобы; панявень, панявок, поняўка, поньцік; заполак; хвартух, хвартушок. „Хвартух“ слова нямецкае, зайшло да нас праз палякаў (ням.: Fahrtuch). Наша пітомае слова панява. Панява гэта сымвал замужнай жанкі, як і чапец. Абычай нашэньня паняўкоў дзяўчатамі, як аздоба да вопраткі, гэта так сама праціўна нашым традыціям як абстрыганьне валасоў у дзяўчат, як адзяваньне іх у чапец."
ПЕРЕДОВОЙ,"хто, або што на перадзе; пярэдні, наўпярэдні."
ПЕРЕДИРИТЬ,"што, прадзіравіць."
ПЕРЕДЫШАТЬ,"перадыхаць, перадышка; ператхнуць, пяротха. Без спачынку, без пяромхі гналі нас у воласьць."
ПЕРЕДЕЛЫВАТЬ,"што, перарабляць, перарабляцца, перарабляньне, пераробка, пераробны. Гарбатага толькі магіла пераробіць. Усіх работ зразу не пераробіш."
ПЕРЕЖАРИВАТЬ,"пячэню, перапражываць. Лепш недапражыць чым перапражыць. Кава недапражана, трэба перапражыць."
ПЕРЕЖАТЬ,пераціснуць.
ПЕРЕЖАВКАТЬ,"перачаўкаць, перажваць."
ПЕРЕЖЕЛАТЬ,"чаго, перахацець."
ПЕРЕЖЕРАВЛИВАТЬ,"асьвер, перасьверываць."
ПЕРЕЖИГАТЬ,"што, перапаляць, перапаляньне, перапал, перапалкі."
ПЕРЕЖИЖЖАТЬ,"што, перарэджаць, перарэджаны."
ПЕРЕЗАРИТЬСЯ,"на што, перагаліцца."
ПЕРЕЗНОБИТЬ,рукі ногі; перазябіць.
ПЕРЕЗОЛЯТЬ,"попел, пералуговываць."
ПЕРЕЗРЕВАТЬ,"аб фруктах, перасьпяваць, перасьпелы."
ПЕРЕИМЕНОВЫВАТЬ,"даць другое імя, перамяновываць."
ПЕРЕКАЛЯТЬ,"дрот, перапаляць, перапал."
ПЕРЕКОЛОТЬ,"расшчапаць; перашчапіць, перашчэп."
ПЕРЕКАЛЯКАТЬ,"аб чым, перагукаць."
ПЕРЕКОПТИТЬ,"перадыміць, перавангліць."
ПЕРЕКАТЫВАТЬ,"перакачываць, перакочаны, перакотны, перакот. Праз камяні бярвеньня не перакоціш. Яйко перакацілася."
