Headword,Definition
БАШМАКИ,"м. татар. чаравікі, барлëчы, боцікі, камашы."
БАШНЯ,"ж. Высокая, раўняючы да вышыні будоўлі надбудоўка; вежа."
БАЮКАТЬ,"усыпляць, кукобіць. Укукобіла дзіцятка, заснула ўжо."
БЕДРА,"ж. верхняя палавіна ўсей нагі, часьць ад лагі (таза) да калена; чэраслы, кулышы, кумпякі."
БЕДРОВАЯ КОСТЬ,"кульшавая косьць, кульша, кічага."
БЕЗАЛАБЕРНЫЙ,"бязладны, нехлямяжы."
БЕЗБОЖИЕ,"ср. бязбожнасьць, бязбожніцкі, бязбожыць, бязбожнік."
БЕЗБОРОДЫЙ,"безбародзька, галамоўжа (ад „музы“ вусны), галамузды, галамуз."
БЕЗБОЯЗНЕННЫЙ,"бязбоязкі, неўляклівы, непалохлівы, сьмелы."
БЕЗБРАЧИЕ,"бязжэнства. У бязжэнстве жыву ўжо дзясяты год. Бязжэннаму не жыцьцё, а мука."
БЕЗБЕДНЫЙ,без бяды і беднасьці. Жытка яго спакойная і бязбедная: дастатны гаспадар жабраваць ня пойдзе: бязбедны.
БЕЗВЕДРИЕ,"ср. непагадзь, негадзь, плюта."
БЕЗВКУСИЕ,ср. несмач.
БЕЗВЛАЖНЫЙ,"бязволагкі, няволагкі, няволгкі."
БЕЗВЛАСТИЕ,"ср. безўладзтва, безваладзь."
БЕЗВОЗВРАТНЫЙ,безпаваротны
БЕЗВОЗДУШНЫЙ,безпаветраны.
БЕЗВОЗМЕЗДНЫЙ,"бязнаўдны, дарэмны. („Наўда“ адпавядае слову „мзда“)."
БЕЗВОЗРАСТНЫЙ,"недаросны, недаростак."
БЕЗВРЕДНЫЙ,няшкодны.
БЕЗВРЕМЕННЫЙ,"— бязчасны, няўчасны."
БЕЗВРЕМЕНЬЕ,"— непагадзь, негадзь, безладзіца, кудаса."
БЕЗВЕРИЕ,"ср. бязверыца, бязвершчына."
БЕЗГЛАВЫЙ,"— безгаловы, безгалоўе, безгаловіца — стан без галовага."
БЕЗГЛАСИЕ,"безгалосасьць, безгалосьсе."
БЕЗГЛАЗЫЙ,бязвокі.
БЕЗГРАМОТНЫЙ,"няпісьменны, няграматны."
БЕЗГРАНИЧНЫЙ,"бязмежны, несканечны, нязьмерны."
БЕЗГРЕХОВНЫЙ,"бязгрэшны, безграхоўны."
БЕЗДАРНЫЙ,"няўдольны, няўдольнасьць."
БЕЗДЕНЕЖЬЕ,безграшоўе.
БЕЗДНА,"ж. незьмяроная глыбіня; бязодня, бяздоньніца, скорзьдоньне, тхлань."
БЕЗДОЖДИЕ,"бяздожджыца, посуш, засуха."
БЕЗДОКАЗАТЕЛЬНЫЙ,"бездаводны, бездаводнасьць, нястача довадаў."
БЕЗДОЛЖНЫЙ,"безпавінны. Безпавінная напасьць, кара."
БЕЗДУМНО,бязмысна. Бязмысна сказаў ты.
БЕЗДЫХАННЫЙ,"бяздухі, няжывы."
БЕЗДЕЙСТВИЕ,"бяздзейнасьць, нячыннасьць."
БЕЗДЕЛИЕ,бязчыннасьць.
БЕЗДЕЛУШКА,цацка. Цацак накупляў. Цацкі разстаўлены.
БЕЗЖИЗНЕННЫЙ,"безжыцьцёвы, нежытны."
БЕЗЗАБОТЛИВОСТЬ,"няруплівасьць, нестарэнлівасьць, бязклопатлівасьць, безтурботлівасьць."
БЕЗЗАВИДНОСТЬ,"незаздросьлівасьць, нягалівасьць."
БЕЗЗАВЕТНОСТЬ,"неспаведлівасьць, беззапаветнасьць."
